ID,Station,Latitude,Longitude
20114,계산,37.5433016,126.7281452
20115,경인교대입구,37.5381803,126.7226228
20116,작전,37.530291,126.7225326
20117,갈산,37.5170688,126.7215587
20118,부평구청,37.5084365,126.7205867
20119,부평시장,37.4984557,126.7222774
20120,부평,37.4904123,126.7234918
20121,동수,37.4854209,126.718399
20122,부평삼거리,37.4782817,126.7104676
20123,간석오거리,37.4669093,126.7079019
20124,인천시청,37.4576187,126.7022161
20125,예술회관,37.4492006,126.7010064
20126,인천터미널,37.4419043,126.699675
20127,문학경기장,37.4349599,126.6983415
20128,선학,37.427001,126.6989247
20129,신연수,37.4180588,126.6940278
20130,원인재,37.4123326,126.6878251
20131,동춘,37.4047322,126.680786
20132,동막,37.3981396,126.6736029
20133,캠퍼스타운,37.3882047,126.6620847
20134,테크노파크,37.3820787,126.6561887
20135,지식정보단지,37.378017,126.6454262
20136,인천대입구,37.386209,126.6394183
20137,센트럴파크,37.3928199,126.6349838
20138,국제업무지구,37.4004344,126.630119
20139,송도달빛축제공원,37.4071408,126.6258733
20210,검단오류(검단산업단지),37.5948489,126.6280074
20211,왕길,37.5951339,126.642479
20212,검단사거리,37.6017177,126.6566189
20213,마전,37.5977134,126.6671363
20214,완정,37.592865,126.6730298
20215,독정,37.5849123,126.6759863
20216,검암,37.5687033,126.6756595
